id,date,obs_type,org_id,category,description,resolved
982fe968-4d3e-4e15-bfde-07bdaf1ee64c,2022-03-08,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 14,в работе
affb100c-42b1-45b6-80fb-bc6ff305e140,2021-08-25,Плохая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 15,просрочено
7e722955-92fa-4f81-8623-7dc2d59879d0,2022-02-09,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 16,в работе
5f3cd4ca-c764-4930-998b-855e1899b7cf,2022-03-03,Хорошая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 17,просрочено
ab031203-5e01-4378-b684-f84f9debba66,2021-03-30,Плохая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 18,Устранено
4a84d2fc-13c8-4af1-9e99-00ace689f3e9,2022-10-26,Плохая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 19,в работе
a64b7b38-0085-4836-9fec-282066844128,2023-10-02,Хорошая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 20,просрочено
9d00f1a4-8bc3-46d4-bca7-8861a3ba283c,2021-12-16,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 21,Устранено
ff699712-3dd9-4c8e-81d1-a1623634da6b,2023-07-17,Плохая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 22,Устранено
497761fd-de65-41db-a1d6-71fd00c87d18,2023-11-24,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 23,в работе
cc781f8f-07a4-4dbf-9397-e65a62095ebc,2021-11-02,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 24,Устранено
43ef73a7-b25b-452a-93b1-7ec81209b70f,2023-07-28,Плохая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 25,Устранено
b2c63860-4a68-4e17-a1cb-51fa157ee4fe,2023-08-16,Хорошая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 26,в работе
5a905b8c-5eb4-454f-b6c2-66d4b5f6bda6,2022-11-28,Хорошая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 27,просрочено
4d26c19f-1b41-4609-bad5-54821c40bd74,2022-08-03,Хорошая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 28,просрочено
ad31f97d-7358-4445-a05d-603881259f12,2021-10-14,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 29,в работе
fd1ae199-ea59-4e76-9233-7b1992997b84,2023-08-15,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 30,Устранено
a97c7a3e-3acb-4290-9f0c-f0cc5fe1522b,2022-11-11,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 31,в работе
cda70cbf-e561-45ba-8525-58be1c564085,2021-01-14,Хорошая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 32,Устранено
13d2a551-0436-4a21-9187-6367989bf9f3,2021-05-08,Хорошая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 33,Устранено
6a54a2bd-bcce-4e5d-a248-91ae429b19d8,2023-01-21,Хорошая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 34,просрочено
1deab6b9-f98d-4589-918c-1d53e7434c42,2021-02-22,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 35,Устранено
48accac4-d566-41a8-a93d-155a7deed5e9,2021-11-25,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 36,в работе
8a29d72b-0a9f-46a4-ac41-e834b4a17caa,2022-06-19,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 37,в работе
93fb9845-f164-4272-8405-e9a658543261,2023-12-28,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 38,просрочено
4829d170-cac9-42fd-b5a7-ca26cfb811d7,2022-07-22,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 39,просрочено
ab6e0c02-f78d-4fa7-91ac-a42049c73892,2023-02-23,Хорошая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 40,Устранено
6e06596b-ee40-49cf-8f68-6a9edd799eb5,2023-04-18,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 41,Устранено
4d77560f-304a-4b70-9f46-e4b986dc9ef8,2021-04-06,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 42,в работе
69d524bd-6c11-434b-9650-c1c202b44cdb,2022-09-07,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 43,в работе
dc77277d-9c42-4987-86b7-71698f62737f,2021-08-02,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 44,в работе
01d59203-a9cb-4209-bfce-e04bcd77a5f4,2021-01-28,Хорошая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 45,Устранено
994d328f-54ca-408f-bcc8-54e05f99e9ef,2021-03-04,Хорошая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 46,в работе
1604ec5c-be9a-4639-ad7f-593e55dd1e55,2021-03-31,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 47,Устранено
eb2b2ac1-f633-48cb-8f2d-5126e42edc6f,2021-01-03,Хорошая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 48,просрочено
a664d4a9-d7f3-4a7c-a31b-d4ce9948b3b4,2022-06-27,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 49,просрочено
9311a117-8dbb-4729-adc0-460dd2fc3428,2021-11-02,Хорошая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 50,в работе
9d505360-2d02-4b2c-b18c-88fbabe314e8,2023-06-15,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 51,просрочено
5a38f654-4adf-433b-a8eb-8fb80e2e4847,2022-04-03,Хорошая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 52,просрочено
fd5934d5-cb9f-4fd7-9e32-b6d65f32e625,2021-11-16,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 53,просрочено
1537ce17-5fa3-4b26-8955-279e13427a5d,2022-06-25,Хорошая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 54,Устранено
af51b29c-2f59-45b3-b16a-3cca7900cb95,2022-10-21,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 55,Устранено
f28819a0-5f90-4e58-bcb4-dc6ddf1ba22f,2021-01-07,Хорошая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 56,просрочено
c28d6a41-f911-441b-b404-0c284e7193a8,2022-01-08,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 57,просрочено
22c327e1-e4e0-45f5-8a85-e1a77dda408e,2023-03-25,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 58,просрочено
abfc57f9-9333-4d51-ba88-6ba13c594f1b,2021-08-19,Плохая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 59,в работе
eef2cac7-fccf-451d-9b42-08f748f884d3,2021-01-08,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 60,просрочено
32d388ab-1750-4e2d-91df-e0441ee5033a,2022-04-30,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 61,в работе
206cfc46-60a9-427a-9f94-0e6f97887e8e,2022-10-18,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 62,просрочено
1909076b-3dc8-4bdc-88c1-2a5de499ce27,2022-10-05,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 63,просрочено
39f4520f-eb5d-4eff-92b8-958bdb448e17,2021-03-09,Хорошая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 64,просрочено
2bb40a84-8794-43ce-95bf-fa0a85c5995b,2021-02-15,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 65,просрочено
ca5e718d-2d65-4b49-9c6d-b476f0dfed9b,2021-08-10,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 66,в работе
73d9af5c-59a1-45da-8811-cbe758f1c837,2023-03-20,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 67,Устранено
7ec370f2-6434-4cd3-a10f-f29896f70783,2021-11-16,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 68,Устранено
f1cdc560-b2a7-4e10-9025-4d5da3f8d9db,2023-08-04,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 69,просрочено
2efd9ece-eac0-4372-89e3-cadcc53beb43,2023-05-31,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 70,в работе
439d54f6-dbf3-4fca-b079-56bfceb62568,2023-11-04,Плохая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 71,просрочено
0b4331eb-18ed-4460-9750-efc03fd77c66,2022-11-13,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 72,просрочено
ec50281c-1612-4433-9420-ab7ea3211a4e,2021-12-26,Плохая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 73,просрочено
9dc422cb-a511-4738-8054-68f63157d3ec,2022-12-12,Хорошая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 74,просрочено
4a9bdf46-44bc-4e14-b968-8d3831c1608a,2022-05-24,Хорошая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 75,просрочено
7f816641-f490-4baa-a57f-6f36cb6b3340,2023-01-07,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 76,Устранено
655a782a-70bd-47b5-9774-02d7d90cf6dd,2023-11-15,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 77,просрочено
f7a7ee7b-6681-4d3c-9105-bf9c203e023b,2021-10-29,Хорошая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 78,Устранено
326260c6-5e87-42a7-9a8d-4d23be62b7f2,2021-07-30,Хорошая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 79,просрочено
adb22d6b-66ad-48ed-b333-0b0c728ba561,2021-12-10,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 80,в работе
2ef47236-c5d0-4457-a3a5-9fa01c91b58d,2021-12-23,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 81,в работе
e75ae3b3-7fc1-41ff-a5c7-9ca7b086f0f4,2023-06-27,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 82,Устранено
85be2813-c52c-4cc6-b926-7a2c1e346161,2023-03-17,Хорошая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 83,в работе
7dc4f17c-c854-4268-9996-7454d50e048a,2021-02-08,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 84,в работе
bee8b5c0-420c-4d18-9ffc-b413a0fbfa3c,2023-03-31,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 85,просрочено
afef4e65-7e0a-43c4-a158-27d3e58c2307,2021-11-27,Хорошая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 86,в работе
0bf758f7-4867-4d34-9e62-69d22fb636c4,2023-01-03,Хорошая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 87,просрочено
155ba7fa-18f6-498e-945d-976ada64149e,2022-12-25,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 88,Устранено
5dbd4367-49af-4ece-b5d1-a64ba251243c,2022-06-05,Хорошая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 89,Устранено
281099b9-ad62-46be-8aaf-2b4d2ee7aa38,2023-12-03,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 90,Устранено
142f32ed-0759-4098-be73-a747513bab99,2022-12-05,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 91,Устранено
7a5f35ae-c3ae-46e9-994e-83ec6d96fdd6,2023-06-11,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 92,просрочено
908832e2-6e28-463d-86e4-dee43376c5c2,2022-05-14,Плохая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 93,в работе
2ad488e9-8ca5-4d38-9cbb-1c6ed441e2b1,2022-03-01,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 94,в работе
0bf0a884-f266-4ae8-8229-f5650299f1f2,2023-06-20,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 95,просрочено
fa5fc8e1-600f-410d-aa65-c1f5a1ef2dc1,2023-07-18,Хорошая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 96,просрочено
328a9921-fb18-4d09-b63a-a97e90e3a80a,2022-11-29,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 97,в работе
0a92abb1-2cca-452a-bf36-35bb2a5343a1,2021-11-08,Хорошая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 98,Устранено
2360b54a-da98-42f7-81f7-6375d9ba2853,2023-04-25,Плохая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 99,просрочено
01335fb4-890a-45a0-9edd-5238e9e4a04a,2021-06-08,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 100,просрочено
5972459d-a7f2-443e-9f26-50e5aa616926,2022-06-06,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 101,просрочено
537c61a6-370c-4152-af92-08485ef57908,2023-08-09,Хорошая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 102,в работе
89aa32f9-de24-471a-8bb3-76b50606099a,2021-04-08,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 103,просрочено
d2429384-a5a2-4730-987a-2baa0cd5212a,2023-04-16,Плохая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 104,Устранено
71968f12-022e-4fd8-ba96-7fa36b669d5a,2023-02-22,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 105,просрочено
436b749e-958a-40c5-b442-120d67e78b9f,2023-09-28,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 106,просрочено
aaea7721-edfb-4e52-8a07-db94cbc6ef47,2023-01-12,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 107,Устранено
a5d0cd2c-35f1-4a1f-912e-575b8b09835d,2021-02-23,Хорошая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 108,в работе
fd93dfb3-dc56-4fe2-8feb-d7d119730b0e,2023-08-23,Хорошая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 109,в работе
e1f0f41f-7a8f-44a1-aee7-c49ba9855862,2022-11-07,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 110,в работе
58c952c6-dc03-45bf-9291-ceac74e0cac8,2021-11-02,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 111,в работе
9329219b-5c2b-4201-8578-e5f79ed593d7,2021-09-23,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 112,Устранено
26593ab7-5703-4118-8a87-93ec934508db,2023-04-17,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 113,просрочено
90692fd0-fd01-4f14-a3db-87d5e8801ba5,2021-05-22,Хорошая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 114,в работе
33c81689-2cdf-4529-9f59-de82b6c755fa,2023-03-29,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 115,в работе
c10f8c55-73f3-472b-b3c0-81125c49ad22,2022-03-10,Плохая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 116,Устранено
1a98c4e8-4964-4247-b7ba-728cca7d0531,2021-06-11,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 117,Устранено
8ecc2fa8-f0bc-44ee-8a44-1635559091c6,2023-11-17,Хорошая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 118,Устранено
86966078-5d04-4add-9025-1bb7331bb487,2022-06-13,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 119,просрочено
27e31a05-cee7-4372-9132-d26e6f1c1484,2022-01-16,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 120,Устранено
4ce3052c-e528-473f-b4fb-f21740400dbd,2023-06-25,Хорошая практика,ORG-D,ОТ,Синтетическое наблюдение Коргау 121,просрочено
40b56629-6de9-4074-937c-e886c9db6159,2023-01-13,Хорошая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 122,в работе
cf082057-7590-4ca5-bd0b-edafdef94064,2023-02-04,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 123,Устранено
dc3e7c5a-fc87-44b6-bae1-667c40b4e3b0,2023-09-30,Плохая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 124,в работе
7145b433-18c6-46f7-93d3-ec2b978cc490,2023-01-31,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 125,просрочено
b0dc5784-4fed-4ac9-aa83-348924a1e725,2021-08-26,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 126,просрочено
f248ba3d-6365-4984-832e-5c484fa9b51e,2021-09-15,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 127,просрочено
64a924a0-dd16-45a5-911f-a27740549321,2022-03-10,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 128,просрочено
6f9bd0e9-60ee-458c-b9f6-91096ea78eae,2023-05-23,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 129,в работе
d70be39d-207b-472a-aee7-0df99f95e0fc,2021-06-17,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 130,просрочено
b20a5977-3236-42ce-b568-4bb3144fbb59,2021-09-05,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 131,Устранено
f4612bc8-e2be-4a5c-9935-ed77b84767c7,2023-07-27,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 132,в работе
cd9da654-b2f6-4058-88c6-151809e14dfb,2023-01-06,Хорошая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 133,в работе
af3d1daf-d98a-4a65-b4ef-dc0c3b05da79,2021-01-26,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 134,просрочено
42ac0cea-f68b-427b-adcc-d5d8e9ad6a60,2021-04-01,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 135,в работе
977e2355-8c67-498b-b06c-c3d80faa413d,2021-05-18,Плохая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 136,просрочено
76561208-e748-47b7-a3e4-b3edf7922485,2023-05-10,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 137,Устранено
4f1a3af5-474a-4f82-9e20-3b5d153db082,2022-07-09,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 138,Устранено
b0cc792e-11b7-4e31-9fb9-aa5b7a4dfd14,2021-10-07,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 139,просрочено
c1341247-3eca-498a-baf9-fb5be876f376,2021-12-30,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 140,просрочено
9768a1a8-7bb6-4e73-9563-f1002ff22daa,2022-10-24,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 141,Устранено
43a6c939-fb5a-4bf0-8961-b3c21ea74223,2022-12-28,Плохая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 142,в работе
79729105-9aa8-4840-8865-043101f34980,2021-03-18,Хорошая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 143,Устранено
837d26e0-252f-4fe6-85cb-52aff0071553,2021-10-06,Хорошая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 144,в работе
2e160536-4e2c-412e-92cd-d04031f447ad,2022-08-18,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 145,Устранено
e50e073e-f115-4f5b-989b-30720a5013ea,2022-06-28,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 146,в работе
65a8db8a-d616-4f41-818e-ed6c9d0c01c0,2023-04-15,Хорошая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 147,просрочено
8efca66e-59a9-4403-8bde-245ee1fa5cf2,2022-04-17,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 148,Устранено
6671d665-2ebb-4a09-a1b2-c2ed068fab55,2022-11-20,Плохая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 149,в работе
c0d62ec3-35e6-4004-9f7e-39dbfa059253,2023-08-09,Хорошая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 150,в работе
34399745-22a9-4893-a219-094dd3edf5f7,2021-04-12,Хорошая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 151,Устранено
44641cd0-f197-4ea4-89f7-231417d4ea51,2021-09-26,Плохая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 152,в работе
ab827a2e-fbe3-4fd9-8caf-f38a40091e01,2021-12-02,Хорошая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 153,в работе
081034b3-459f-490f-aeb6-45c3fa5f1bc4,2021-06-17,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 154,просрочено
9e4b08fd-da19-42dd-a3e1-72a6933f05f7,2022-04-09,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 155,Устранено
e94beb0e-40b7-4a9c-83ae-cbfebe745d1f,2021-03-05,Плохая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 156,просрочено
69f45fc6-50ed-421d-a5a3-45de9fb422a7,2022-07-06,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 157,в работе
ca3df6e1-59e4-4861-89b1-e587825dc931,2021-03-30,Хорошая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 158,Устранено
eee3c17e-1864-4ca7-a9e8-57c2af5dbd7f,2022-03-26,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 159,в работе
16b823f3-79de-4796-9757-c3c8eb3fa40a,2023-05-25,Хорошая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 160,в работе
43e4f87e-9e1c-4ece-a03c-a23a68bd0c75,2021-11-13,Хорошая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 161,в работе
2de78245-2f9f-4321-b598-5228d54cda03,2021-08-04,Плохая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 162,в работе
5290e1fe-0d54-4407-b942-47a8569bea1e,2022-07-17,Плохая практика,ORG-D,Экология,Синтетическое наблюдение Коргау 163,просрочено
411e87ab-7bdb-4af1-bd0a-c81173a8eefe,2023-02-28,Плохая практика,ORG-B,Экология,Синтетическое наблюдение Коргау 164,просрочено
60bac4e2-30a4-4762-8695-3acd312f3717,2023-07-16,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 165,в работе
22d6c108-5f48-4068-8d43-50c38416136e,2021-01-25,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 166,в работе
ebaadf38-08b9-4b97-97e7-befcd16d9974,2021-03-25,Плохая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 167,Устранено
56e463bd-5c00-4ae3-89aa-bc566f5809c1,2021-10-02,Хорошая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 168,в работе
93f15c28-69fa-43cd-bdc7-fd7c28ddabf1,2023-01-28,Плохая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 169,Устранено
fe28bb4d-5ed6-4923-86b5-21902c03da13,2021-01-09,Плохая практика,ORG-B,СИЗ,Синтетическое наблюдение Коргау 170,просрочено
dfc7d732-86ef-478f-9a6a-323ad08e8a1e,2021-01-27,Плохая практика,ORG-C,СИЗ,Синтетическое наблюдение Коргау 171,в работе
f0c167af-4f09-4404-949e-2a27c4b48f4b,2023-02-07,Хорошая практика,ORG-B,ОТ,Синтетическое наблюдение Коргау 172,в работе
0e870d93-a211-42e0-9076-a9f8a78ab8b0,2023-09-15,Хорошая практика,ORG-A,ОТ,Синтетическое наблюдение Коргау 173,просрочено
917579dc-1e3a-4816-9332-9a9c42e92e66,2021-03-23,Плохая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 174,Устранено
7872ea09-4d7d-4b02-bb1a-a22d3e0f8833,2021-04-20,Хорошая практика,ORG-A,ПБ,Синтетическое наблюдение Коргау 175,в работе
3736d256-083c-4a28-9f2b-2ecfa77373ae,2021-02-15,Хорошая практика,ORG-B,ПБ,Синтетическое наблюдение Коргау 176,Устранено
ec405ae0-ea0f-4ef0-88e8-482afcab443c,2022-11-05,Плохая практика,ORG-D,ПБ,Синтетическое наблюдение Коргау 177,в работе
984f233e-89eb-4579-995e-7aabd3e387e5,2023-12-21,Плохая практика,ORG-C,ПБ,Синтетическое наблюдение Коргау 178,просрочено
c74cc8e3-8e24-4f13-9eaf-4c9390ba2f3b,2021-02-12,Плохая практика,ORG-A,СИЗ,Синтетическое наблюдение Коргау 179,Устранено
c94ced71-450c-438e-ac17-4e926000efa5,2023-01-03,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 180,просрочено
ea73d190-e545-40c8-bf50-7a39e761e1df,2021-05-04,Плохая практика,ORG-C,ОТ,Синтетическое наблюдение Коргау 181,Устранено
c857a7a9-cfc7-4381-90da-36a190308b7c,2023-04-20,Хорошая практика,ORG-C,Экология,Синтетическое наблюдение Коргау 182,в работе
73c97c49-408c-4abc-9bf9-a9583c1f3959,2021-07-27,Плохая практика,ORG-D,СИЗ,Синтетическое наблюдение Коргау 183,просрочено
0c3e972b-b61e-41a9-85e4-9586a799faf3,2022-07-11,Плохая практика,ORG-A,Экология,Синтетическое наблюдение Коргау 184,Устранено
